commit,faults,path,NumberOfLambdaFunctions,SourceLinesOfLambda,LambdaScore,LambdaFunctionsUsingOuterVariables,LambdaFunctionsUsingInnerVariables,LambdaFunctionsWithSideEffects,LambdaFunctionsWithAssignment
HEAD,1,package dsl - trait EncodingDsl - method Decoder - <$anon: EncodingDsl.this.Decoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl - trait Encoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl - method Encoder - <$anon: EncodingDsl.this.Encoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl - method mappedDecoderImpl - <$anon: EncodingDsl.this.Decoder[O]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl - method mappedEncoderImpl - <$anon: EncodingDsl.this.Encoder[I]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package postgres - trait FinaglePostgresEncoders,5.0,4.0,0.1111111111111111,0.0,0.0,0.0,0.0
HEAD,1,package postgres - trait FinaglePostgresEncoders - class ValueEncoderEncoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package postgres - trait FinaglePostgresDecoders,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package postgres - trait FinaglePostgresDecoders - method decoder - <$anon: FinaglePostgresDecoders.this.Decoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package postgres - trait FinaglePostgresDecoders - method decoderDirectly - <$anon: FinaglePostgresDecoders.this.Decoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package postgres - trait FinaglePostgresDecoders - method optionDecoder - <$anon: FinaglePostgresDecoders.this.Decoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mysql - trait FinagleMysqlDecoders,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mysql - trait FinagleMysqlDecoders - method decoder - <$anon: FinagleMysqlDecoders.this.Decoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mysql - trait FinagleMysqlDecoders - method optionDecoder - <$anon: FinagleMysqlDecoders.this.Decoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mirror - trait MirrorEncoders,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mirror - trait MirrorEncoders - method encoder - <$anon: MirrorEncoders.this.Encoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mirror - trait MirrorEncoders - method optionEncoder - <$anon: MirrorEncoders.this.Encoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Encoders,4.0,13.0,0.20634920634920634,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Encoders - class AsyncEncoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Encoders - method encoder - <$anon: Encoders.this.Encoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Encoders - method mappedEncoderImpl - <$anon: Encoders.this.Encoder[I]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Encoders - method optionEncoder - <$anon: Encoders.this.Encoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - class MetaDslMacro,16.0,40.0,0.22857142857142856,0.0,0.0,0.0,0.0
HEAD,0,package dsl - class MetaDslMacro - trait Value,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dsl - class MetaDslMacro - class Nested,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dsl - class MetaDslMacro - class OptionalNested,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package dsl - class MetaDslMacro - class Scalar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Decoders,7.0,7.0,0.14583333333333334,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Decoders - method decoder - <$anon: Decoders.this.Decoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Decoders - method optionDecoder - <$anon: Decoders.this.Decoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Decoders - <$anon: Decoders.this.Decoder[BigDecimal]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Decoders - <$anon: Decoders.this.Decoder[Array[Byte]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Decoders - <$anon: Decoders.this.Decoder[java.util.UUID]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - class MirrorContextWithQueryProbing,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class MirrorContext,10.0,12.0,0.2727272727272727,0.0,0.0,0.0,0.0
HEAD,0,package getquill - class MirrorContext - class ActionMirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class MirrorContext - class ActionReturningMirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class MirrorContext - class BatchActionMirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class MirrorContext - class BatchActionReturningMirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class MirrorContext - class QueryMirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Encoders,14.0,14.0,0.4,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Encoders - method encoder - <$anon: Encoders.this.Encoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Encoders - method optionEncoder - <$anon: Encoders.this.Encoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - class AsyncDecoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - method decoder - <$anon: Decoders.this.Decoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - method mappedDecoderImpl - <$anon: Decoders.this.Decoder[O]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - trait NumericDecoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - method optionDecoder - <$anon: Decoders.this.Decoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - <$anon: Decoders.this.NumericDecoder[BigDecimal]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - <$anon: Decoders.this.NumericDecoder[Int]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - <$anon: Decoders.this.NumericDecoder[Long]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - <$anon: Decoders.this.NumericDecoder[Float]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - <$anon: Decoders.this.NumericDecoder[Double]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package async - trait Decoders - <$anon: Decoders.this.Decoder[java.util.UUID]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Unliftables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing,6.0,10.0,0.07462686567164178,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - class Parser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Liftables,14.0,119.0,0.9596774193548387,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class QuotedAst,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Quotation,6.0,7.0,0.2,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class ScalarValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings,2.0,7.0,0.12280701754385964,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait ReifyLiftings - class Reified,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings - class ReifyLiftings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package context - class QueryMacro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package context - class ActionMacro,2.0,8.0,0.1702127659574468,0.0,0.0,0.0,0.0
HEAD,1,package cassandra - object CqlNormalize,5.0,5.0,0.5,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class FinagleMysqlContext,20.0,19.0,0.24050632911392406,0.0,0.0,0.0,0.0
HEAD,0,package cassandra - object CqlIdiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package cassandra - trait CqlIdiom,20.0,125.0,0.9057971014492754,0.0,0.0,1.0,0.0
HEAD,6,package getquill - class CassandraAsyncContext,14.0,9.0,0.3333333333333333,0.0,0.0,0.0,0.0
HEAD,6,package getquill - object CassandraAsyncContext,1.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0
HEAD,6,package getquill - object CassandraAsyncContext - class ActionApply,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,6,package mirror - trait MirrorDecoders,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,6,package mirror - trait MirrorDecoders - method decoder - <$anon: MirrorDecoders.this.Decoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package mirror - trait MirrorDecoders - method optionDecoder - <$anon: MirrorDecoders.this.Decoder[Option[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,6,package quotation - trait Unliftables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,6,package mysql - trait FinagleMysqlEncoders,3.0,4.0,0.09302325581395349,0.0,0.0,0.0,0.0
HEAD,6,package mysql - trait FinagleMysqlEncoders - method encoder - <$anon: FinagleMysqlEncoders.this.Encoder[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,6,package mysql - trait FinagleMysqlEncoders - method encoder - <$anon: FinagleMysqlEncoders.this.Encoder[T]> - method apply - <$anon: io.getquill.context.Encoder[List[<error>] T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,6,package mysql - trait FinagleMysqlEncoders - method traversableEncoder - <$anon: FinagleMysqlEncoders.this.Encoder[Traversable[T]]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
