commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package util - class TokenBucket - method init,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
HEAD,0,package util - class TokenBucket - method currentTime,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - class TokenBucket - method offer,5.0,0.0,32.0,28.0,4.0,0.125,19.0,11.0,0.0,0.0,-1.0
HEAD,0,package util - class NanoTimeTokenBucket - method currentTime,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package event - class LoggerMailboxType - method create,3.0,7.0,4.0,4.0,0.0,0.0,6.0,4.0,11.0,2.0,1.0
HEAD,0,package event - class LoggerMailbox - method cleanUp,6.0,4.0,22.0,17.0,6.0,0.2608695652173913,8.0,7.0,5.0,1.0,-0.8000000000000002
HEAD,0,package akka - object CopyrightHeaderForBuild - method trigger,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package akka - object CopyrightHeaderForBuild - method projectSettings,1.0,0.0,12.0,12.0,0.0,0.0,14.0,2.0,0.0,0.0,1.0
HEAD,0,package leveldb - trait LeveldbCompaction - method receiveCompactionInternal,1.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package leveldb - trait LeveldbCompaction - method tryCompactOnDelete,2.0,0.0,13.0,13.0,0.0,0.0,14.0,10.0,0.0,0.0,-1.0
HEAD,0,package leveldb - trait CompactionSegmentManagement - method compactionIntervals,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package leveldb - trait CompactionSegmentManagement - method updateCompactionSegment,1.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,-1.0
HEAD,0,package leveldb - trait CompactionSegmentManagement - method compactionLimit,1.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
HEAD,0,package leveldb - trait CompactionSegmentManagement - method compactionSegment,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package leveldb - trait CompactionSegmentManagement - method mustCompact,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package leveldb - trait CompactionSegmentManagement - method isCompactionEnabled,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package leveldb - trait CompactionSegmentManagement - method isCompactionRequired,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,0,package leveldb - trait CompactionSegmentManagement - method latestCompactionSegment,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package leveldb - trait CompactionSegmentManagement - method compactionInterval,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
HEAD,0,package pem - object DERPrivateKeyLoader - method load,4.0,8.0,10.0,10.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0
HEAD,0,package pem - object DERPrivateKeyLoader - method loadPkcs1PrivateKey,3.0,0.0,58.0,53.0,3.0,0.05357142857142857,34.0,18.0,0.0,0.0,0.6842105263157895
HEAD,0,package pem - object DERPrivateKeyLoader - method getInteger,3.0,6.0,7.0,7.0,0.0,0.0,4.0,2.0,6.0,2.0,1.0
HEAD,0,package pem - object DERPrivateKeyLoader - method getSequence,3.0,6.0,7.0,7.0,0.0,0.0,4.0,2.0,6.0,2.0,1.0
HEAD,0,package pem - object DERPrivateKeyLoader - method loadPkcs8PrivateKey,1.0,0.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
