commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,1,package quotation - trait Parsing,99.0,2.0,99.0,0.0,6.0,405.0,142.0,6.0,0.04054054054054054,1.0,64.0,18.0,2.0,2.0,6.333333333333333,4.444444444444445,3.111111111111111,0.8888888888888888,0.2748538011695907
HEAD,0,package quotation - trait Parsing - class Parser,17.0,1.0,17.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,10.0,4.0,2.0,2.5,4.0,4.0,4.5,2.0,0.5
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,7.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package quotation - trait Unliftables,39.0,1.0,40.0,0.0,1.0,136.0,38.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package quotation - trait Parsing,99.0,2.0,99.0,0.0,6.0,396.0,142.0,6.0,0.04054054054054054,1.0,64.0,18.0,2.0,2.0,6.333333333333333,4.444444444444445,3.111111111111111,0.8888888888888888,0.2748538011695907
HEAD,0,package quotation - trait Parsing - class Parser,17.0,1.0,17.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,10.0,4.0,2.0,2.5,4.0,4.0,4.5,2.0,0.5
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,7.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package quotation - trait Liftables,118.0,1.0,119.0,0.0,0.0,132.0,132.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing,98.0,2.0,98.0,0.0,6.0,387.0,138.0,6.0,0.041666666666666664,1.0,62.0,16.0,2.0,2.25,5.5,4.375,3.5,1.0,0.4342105263157895
HEAD,0,package quotation - trait Parsing - class Parser,17.0,1.0,17.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,10.0,4.0,2.0,2.5,4.0,4.0,4.5,2.0,0.5
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,7.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package dsl - class EncodingDslMacro,27.0,1.0,28.0,0.0,3.0,50.0,38.0,0.0,0.0,0.0,23.0,14.0,1.75,3.0,3.625,3.0,2.0,0.125,0.875
HEAD,1,package quotation - object Rebind,24.0,0.0,24.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,23.0,0.0,4.0,11.0,21.0,14.0,21.0,9.0,1.0
HEAD,1,package quotation - trait Parsing,98.0,2.0,98.0,0.0,6.0,389.0,138.0,6.0,0.041666666666666664,1.0,62.0,16.0,2.0,2.25,5.5,4.375,3.5,1.0,0.4342105263157895
HEAD,0,package quotation - trait Parsing - class Parser,17.0,1.0,17.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,10.0,4.0,2.0,2.5,4.0,4.0,4.5,2.0,0.5
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,7.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package getquill - class CassandraAsyncContext,19.0,0.0,19.0,6.0,1.0,35.0,31.0,0.0,0.0,0.0,15.0,7.0,1.75,4.25,7.25,5.25,4.5,1.5,0.8219444444444445
HEAD,1,package quotation - trait Parsing,95.0,2.0,95.0,0.0,5.0,374.0,134.0,6.0,0.04285714285714286,1.0,56.0,15.0,2.142857142857143,2.5714285714285716,6.142857142857143,4.857142857142857,4.0,1.1428571428571428,0.3533834586466166
HEAD,0,package quotation - trait Parsing - class Parser,17.0,1.0,17.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,10.0,4.0,2.0,2.5,4.0,4.0,4.5,2.0,0.5
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,7.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package quotation - trait Parsing,95.0,2.0,95.0,0.0,5.0,374.0,134.0,6.0,0.04285714285714286,1.0,56.0,15.0,2.142857142857143,2.5714285714285716,6.142857142857143,4.857142857142857,4.0,1.1428571428571428,0.3533834586466166
HEAD,0,package quotation - trait Parsing - class Parser,17.0,1.0,17.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,10.0,4.0,2.0,2.5,4.0,4.0,4.5,2.0,0.5
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,7.0,1.0,8.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
HEAD,1,package dsl - class EncodingDslMacro,27.0,1.0,28.0,0.0,3.0,56.0,44.0,0.0,0.0,0.0,25.0,16.0,1.6,2.4,3.1,2.6,1.6,0.1,0.7
HEAD,1,package dsl - trait LowPriorityImplicits,6.0,1.0,6.0,0.0,2.0,5.0,6.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl,28.0,2.0,28.0,1.0,10.0,31.0,24.0,3.0,0.1111111111111111,1.0,16.0,10.0,1.0,0.0,0.9,0.9,0.0,0.0,0.4
HEAD,1,package dsl - class EncodingDslMacro,27.0,1.0,28.0,0.0,3.0,56.0,44.0,0.0,0.0,0.0,25.0,16.0,1.6,2.4,3.1,2.6,1.6,0.1,0.7
HEAD,1,package dsl - trait LowPriorityImplicits,6.0,1.0,6.0,0.0,2.0,5.0,6.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - trait EncodingDsl,28.0,2.0,28.0,1.0,10.0,31.0,24.0,3.0,0.1111111111111111,1.0,16.0,10.0,1.0,0.0,0.9,0.9,0.0,0.0,0.4
HEAD,0,package quotation - class ScalarValueLifting,4.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings,52.0,3.0,54.0,0.0,2.0,72.0,57.0,1.0,0.017241379310344827,2.0,35.0,9.0,4.5,9.5,8.5,4.5,19.0,5.0,0.5
HEAD,0,package quotation - trait ReifyLiftings - class Reified,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings - class ReifyLiftings,45.0,3.0,47.0,2.0,1.0,46.0,33.0,0.0,0.0,2.0,29.0,14.0,7.0,14.5,24.0,13.5,70.5,9.0,1.0
HEAD,0,package quotation - class ScalarValueLifting,4.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings,52.0,3.0,54.0,0.0,2.0,72.0,57.0,1.0,0.017241379310344827,2.0,35.0,9.0,4.5,9.5,8.5,4.5,19.0,5.0,0.5
HEAD,0,package quotation - trait ReifyLiftings - class Reified,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings - class ReifyLiftings,45.0,3.0,47.0,2.0,1.0,46.0,33.0,0.0,0.0,2.0,29.0,14.0,7.0,14.5,24.0,13.5,70.5,9.0,1.0
HEAD,0,package quotation - class QuotedAst,5.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Quotation,35.0,3.0,37.0,1.0,3.0,46.0,35.0,0.0,0.0,2.0,31.0,12.0,2.4,5.6,4.2,4.0,5.0,1.2,1.0
HEAD,0,package quotation - class ScalarValueLifting,4.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings,52.0,3.0,54.0,0.0,2.0,72.0,57.0,1.0,0.017241379310344827,2.0,37.0,9.0,4.5,9.5,8.5,4.5,19.0,5.0,0.5
HEAD,0,package quotation - trait ReifyLiftings - class Reified,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings - class ReifyLiftings,45.0,3.0,47.0,2.0,1.0,46.0,33.0,0.0,0.0,2.0,31.0,14.0,7.0,14.5,25.0,14.5,70.5,9.0,1.0
HEAD,0,package quotation - class ScalarValueLifting,4.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - class CaseClassValueLifting,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings,52.0,3.0,54.0,0.0,2.0,72.0,57.0,1.0,0.017241379310344827,2.0,37.0,9.0,4.5,9.5,8.5,4.5,19.0,5.0,0.5
HEAD,0,package quotation - trait ReifyLiftings - class Reified,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait ReifyLiftings - class ReifyLiftings,45.0,3.0,47.0,2.0,1.0,46.0,33.0,0.0,0.0,2.0,31.0,14.0,7.0,14.5,25.0,14.5,70.5,9.0,1.0
HEAD,0,package cassandra - object CqlIdiom,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package cassandra - trait CqlIdiom,102.0,1.0,103.0,1.0,4.0,138.0,137.0,0.0,0.0,1.0,40.0,67.0,4.1875,8.125,21.3125,6.8125,19.0625,4.0,0.8068181818181819
HEAD,2,package context - class Expand,20.0,0.0,20.0,2.0,0.0,23.0,22.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package context - trait ContextMacro,43.0,2.0,45.0,2.0,3.0,72.0,61.0,0.0,0.0,2.0,40.0,17.0,2.125,3.5,5.875,4.25,5.75,1.5,0.5892857142857143
HEAD,1,package quotation - trait Parsing,95.0,2.0,95.0,0.0,5.0,372.0,134.0,6.0,0.04285714285714286,1.0,56.0,15.0,2.142857142857143,2.5714285714285716,6.142857142857143,4.857142857142857,4.0,1.1428571428571428,0.3533834586466166
HEAD,0,package quotation - trait Parsing - class Parser,17.0,1.0,17.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,10.0,4.0,2.0,2.5,4.0,4.0,4.5,2.0,0.5
