commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package build - object Http4sPlugin - class StepSyntax,2.0,2.0,4.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package build - object Http4sPlugin - class StateFCommand,1.0,1.0,2.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - trait Message,37.0,31.0,67.0,0.0,13.0,159.0,90.0,66.0,0.4230769230769231,2.0,56.0,39.0,1.1142857142857143,0.37142857142857144,1.7142857142857142,1.5142857142857142,0.2857142857142857,0.05714285714285714,0.4,0.4
HEAD,0,package http4s - object Message,3.0,31.0,34.0,0.0,0.0,7.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object Message - object Keys,1.0,9.0,10.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - class Request,41.0,64.0,105.0,2.0,11.0,148.0,105.0,44.0,0.2953020134228188,0.0,58.0,29.0,1.0,0.0,2.0689655172413794,1.7586206896551724,0.0,0.0,0.4827586206896552,0.4827586206896552
HEAD,0,package http4s - object Request,24.0,64.0,86.0,1.0,0.0,25.0,20.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object Request - method apply - <$anon: org.http4s.Request[F]>,1.0,0.0,1.0,3.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object Request - class Connection,4.0,3.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object Request - object Keys,2.0,9.0,11.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - class Response,19.0,52.0,70.0,2.0,8.0,49.0,42.0,7.0,0.14285714285714285,0.0,24.0,9.0,1.0,0.0,1.4444444444444444,1.4444444444444444,0.0,0.0,0.1111111111111111,0.1111111111111111
HEAD,0,package http4s - object Response,8.0,52.0,59.0,1.0,0.0,13.0,13.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.3333333333333335,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333
HEAD,1,package http4s - package server - package middleware - object AutoSlash,2.0,0.0,2.0,0.0,0.0,21.0,19.0,2.0,0.09523809523809523,0.0,1.0,0.0,3.0,0.0,17.0,3.0,0.0,0.0,1.0,1.0
HEAD,1,package http4s - package client - package middleware - object Retry,32.0,0.0,32.0,0.0,0.0,63.0,61.0,1.0,0.016129032258064516,0.0,20.0,0.0,5.0,4.0,24.5,8.0,14.0,4.0,1.0,1.0
HEAD,0,package http4s - package client - package middleware - object RetryPolicy,34.0,1.0,35.0,0.0,0.0,69.0,38.0,30.0,0.4411764705882353,0.0,25.0,0.0,1.7142857142857142,0.5714285714285714,2.857142857142857,2.5714285714285716,1.1428571428571428,0.14285714285714285,0.42857142857142855,0.42857142857142855
HEAD,1,package http4s - package client - package middleware - object FollowRedirect,29.0,0.0,29.0,0.0,0.0,87.0,58.0,28.0,0.32558139534883723,0.0,22.0,0.0,5.333333333333333,5.333333333333333,12.666666666666666,5.666666666666667,13.666666666666666,1.0,0.6666666666666666,0.6666666666666666
HEAD,1,package http4s - package parser - trait Rfc3986Parser,12.0,6.0,18.0,1.0,30.0,107.0,94.0,9.0,0.08737864077669903,4.0,34.0,31.0,1.0,0.0,6.967741935483871,1.3548387096774193,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package blazecore - package websocket - class Http4sWSStage,9.0,1.0,10.0,0.0,8.0,109.0,79.0,31.0,0.2818181818181818,0.0,9.0,25.0,3.125,3.5,9.0,1.625,5.25,1.125,0.75,0.2857142857142857
