commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package middleware - object CookieJar - method apply,3.0,20.0,17.0,16.0,0.0,0.0,20.0,6.0,2.0,0.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - method impl,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - method in,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - method jarImpl,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - method jarIn,1.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - class CookieJarRefImpl - method evictExpired,1.0,0.0,9.0,9.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - class CookieJarRefImpl - method evictAll,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - class CookieJarRefImpl - method addCookies,1.0,0.0,5.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - class CookieJarRefImpl - method enrichRequest,2.0,3.0,5.0,5.0,0.0,0.0,8.0,2.0,7.0,2.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - class CookieValue - method equals,3.0,8.0,8.0,8.0,0.0,0.0,5.0,2.0,5.0,1.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - object CookieValue - method apply,1.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - method expiresAt,1.0,0.0,10.0,10.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - method extractFromResponseCookies,2.0,5.0,10.0,10.0,0.0,0.0,8.0,2.0,12.0,3.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - method extractFromResponseCookie,3.0,10.0,13.0,13.0,1.0,0.07142857142857142,10.0,10.0,6.0,1.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - method responseCookieToRequestCookie,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package middleware - object CookieJar - method cookieAppliesToRequest,2.0,0.0,16.0,16.0,0.0,0.0,9.0,5.0,0.0,0.0,1.0,1.0
HEAD,0,package middleware - object CookieJar - method cookiesForRequest,3.0,6.0,9.0,9.0,0.0,0.0,7.0,6.0,6.0,2.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method run,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - class DefaultClient - method fetch,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method fetch,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method toKleisli,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method toHttpApp,2.0,5.0,7.0,7.0,0.0,0.0,6.0,2.0,7.0,2.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method stream,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - class DefaultClient - method streaming,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method streaming,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expectOr,4.0,6.0,13.0,13.0,0.0,0.0,11.0,6.0,6.0,2.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expect,1.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expectOr,1.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expect,1.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expectOr,1.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expect,1.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expectOr,1.0,0.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expect,1.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expectOptionOr,7.0,8.0,17.0,17.0,0.0,0.0,12.0,6.0,11.0,2.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method expectOption,1.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method fetchAs,2.0,0.0,9.0,9.0,0.0,0.0,8.0,6.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method fetchAs,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package client - class DefaultClient - method status,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - class DefaultClient - method status,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - class DefaultClient - method statusFromUri,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package client - class DefaultClient - method statusFromString,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
