commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,1,package extra - package sparkey - package object sparkey,65.0,6.0,67.0,1.0,0.0,355.0,236.0,98.0,0.2934131736526946,0.0,84.0,0.0,2.0,0.0,7.0,7.0,0.0,0.0,1.0,0.27272727272727276
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeyScioContext,24.0,1.0,25.0,0.0,1.0,47.0,28.0,16.0,0.36363636363636365,0.0,18.0,6.0,1.2,0.0,5.4,5.0,0.0,0.0,0.4,0.4
HEAD,1,package extra - package sparkey - package object sparkey - class SparkeyPairSCollection,34.0,1.0,35.0,0.0,1.0,173.0,114.0,49.0,0.3006134969325153,0.0,36.0,13.0,1.8571428571428572,2.2857142857142856,10.571428571428571,4.857142857142857,3.2857142857142856,0.8571428571428571,0.7142857142857143,0.7009345794392523
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeySCollection,9.0,2.0,11.0,0.0,1.0,43.0,19.0,20.0,0.5128205128205128,0.0,6.0,4.0,1.0,0.0,2.25,2.25,0.0,0.0,0.75,0.75
HEAD,0,package extra - package sparkey - package object sparkey - class ShardedSparkeyReader,16.0,4.0,20.0,0.0,4.0,40.0,37.0,0.0,0.0,0.0,19.0,14.0,1.4,0.3,2.7,2.4,0.7,0.2,0.3,0.18
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeySideInput,2.0,3.0,5.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - trait SparkeyWritable,6.0,4.0,10.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5
HEAD,0,package extra - package sparkey - package object sparkey - <$anon: com.spotify.scio.extra.sparkey.package.SparkeyWritable[String String]>,6.0,0.0,6.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,-0.5
HEAD,0,package extra - package sparkey - package object sparkey - <$anon: com.spotify.scio.extra.sparkey.package.SparkeyWritable[Array[Byte] Array[Byte]]>,6.0,0.0,6.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,-0.5
HEAD,1,package extra - package sparkey - package object sparkey,63.0,6.0,65.0,1.0,0.0,334.0,215.0,98.0,0.31309904153354634,0.0,82.0,0.0,2.0,0.0,7.0,7.0,0.0,0.0,1.0,0.27272727272727276
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeyScioContext,24.0,1.0,25.0,0.0,1.0,47.0,28.0,16.0,0.36363636363636365,0.0,18.0,6.0,1.2,0.0,5.4,5.0,0.0,0.0,0.4,0.4
HEAD,1,package extra - package sparkey - package object sparkey - class SparkeyPairSCollection,32.0,1.0,33.0,0.0,1.0,152.0,93.0,49.0,0.34507042253521125,0.0,33.0,12.0,1.7142857142857142,2.4285714285714284,8.0,4.571428571428571,2.2857142857142856,0.5714285714285714,0.7142857142857143,0.688888888888889
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeySCollection,9.0,2.0,11.0,0.0,1.0,43.0,19.0,20.0,0.5128205128205128,0.0,6.0,4.0,1.0,0.0,2.25,2.25,0.0,0.0,0.75,0.75
HEAD,0,package extra - package sparkey - package object sparkey - class ShardedSparkeyReader,16.0,4.0,20.0,0.0,4.0,40.0,37.0,0.0,0.0,0.0,19.0,14.0,1.4,0.3,2.7,2.4,0.7,0.2,0.3,0.18
HEAD,0,package extra - package sparkey - package object sparkey - class SparkeySideInput,2.0,3.0,5.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
HEAD,0,package extra - package sparkey - package object sparkey - trait SparkeyWritable,6.0,4.0,10.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5
HEAD,0,package extra - package sparkey - package object sparkey - <$anon: com.spotify.scio.extra.sparkey.package.SparkeyWritable[String String]>,6.0,0.0,6.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,-0.5
HEAD,0,package extra - package sparkey - package object sparkey - <$anon: com.spotify.scio.extra.sparkey.package.SparkeyWritable[Array[Byte] Array[Byte]]>,6.0,0.0,6.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,-0.5
HEAD,0,package types - class StorageIT,26.0,1.0,27.0,7.0,0.0,231.0,231.0,11.0,0.045454545454545456,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package types - object StorageIT,14.0,1.0,15.0,1.0,0.0,33.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class Required,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class Optional,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class Repeated,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class NestedWithFields,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class NestedWithRestriction,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class NestedWithAll,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class StorageLatest,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class FromTable,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class FromQuery,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package types - object StorageIT - class ToTableRequired,3.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
