commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package scio - object ScioContext - method apply,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext - method apply,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext - method apply,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext - method forTest,1.0,0.0,6.0,6.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext - method parseArguments,9.0,13.0,55.0,50.0,2.0,0.038461538461538464,56.0,18.0,13.0,4.0,1.0,0.8979591836734693
HEAD,0,package scio - object ScioContext - method makeDistCacheScioContext,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext - method defaultOptions,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext - method validateOptions,2.0,0.0,17.0,15.0,1.0,0.0625,14.0,14.0,0.0,0.0,1.0,-0.627906976744186
HEAD,0,package scio - class ScioContext - method optionsAs,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - class ScioContext - method prepare,1.0,0.0,5.0,4.0,1.0,0.2,2.0,2.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - class ScioContext - method pipeline,3.0,0.0,24.0,20.0,4.0,0.16666666666666666,11.0,5.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - class ScioContext - method wrap,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
